TOT	전체합계
TZ01	1시간대 : 00:00 ~ 06:59 시간평균
TZ02	2시간대 : 07:00 ~ 08:59 시간평균
TZ03	3시간대 : 09:00 ~ 10:59 시간평균
TZ04	4시간대 : 11:00 ~ 12:59 시간평균
TZ05	5시간대 : 13:00 ~ 14:59 시간평균
TZ06	6시간대 : 15:00 ~ 16:59 시간평균
TZ07	7시간대 : 17:00 ~ 18:59 시간평균
TZ08	8시간대 : 19:00 ~ 20:59 시간평균
TZ09	9시간대 : 21:00 ~ 22:59 시간평균
TZ10	10시간대 : 23:00 ~ 23:59 시간평균
