맘스브레드&브런치팔렛
기쁜날우리맛집
영이네가맥
문꼬치;문강정은행로점
안다미로혁신만성점
감성식탁앤도시락
올리브에리모네
밍스푸드
더케이웨딩홀전주N
씨알푸드
신해원식당
평산
얌얌주전부리;웰빙분식
레몬허키친
하가회수산활어회
평화술제철소
향리
장아구찜앤낙곱새
동문길51-6
빨간꽃게게장
네네치킨앤봉구스밥버거중화산
케이이모포차
순꼬마김밥
메고지고떡창고전주송
더굿에프앤비
하늘가에프엔비
황가네닭발꼼장어평화본점아중
원수산제철수산
곰까스
씨알푸드
동태탕앤포차
경아분식
전주제육
샾2차가맥
주선
히츠바
제이쥐푸드
태랑
가리내부엌
그알타로카페
더필골프카페
왕통큰숯불구이
강할머니감자탕
온고을풍남정신시가지
교동떡갈비
칼자비숯불고기
전주소바
벌떡전주대점
바른생활다이어트인후우아점
법인내가만든풍년
우리맘제빵소
온다라순대국밥객사점
와우휴게음식점
김씨네짬뽕순대국밥
세자매집밥앤가맥
일미리금계찜닭평화서학점
황금알매점제과점
네네치킨우아인후아중점&봉구스밥버거아중
유펍
오리대감송천
전주숯불닭집전숯닭
오스맘부대찌개
더카스모어
킨토토전주
대장금팥칼국수
참우리명품한우정육식당
철기와전
곰소어간장한옥
바인쿡한옥
지수만풍천민물장어전주점
구르르전주
익선동121롯데전주점
한획
에이치한마음정육식당전주
익선동121
세븐
정동
신바다양푼이동태탕회
너만좋으면돼지
해늘스낵
돌돌파이
히나도리
금암단골집
연희가맥포차
대만족하가
업소명없음
조선제일전
김엔군
은행로12
농부애갈비만성점
꿀순이앤꿀돌이동산점
브라더한정식도시락전주아중점
향연심포시온
정정아식당전주평화점
음양화로
차대고기먹자
리윤생선집
도싯골묵은지삼겹살도청점
엠돈가스샌드위치
백두
씨알푸드완산점
복장어샤브샤브
꽈배기진한옥
북창동순두부전주평화점
삼국시대앤팝샌드위치
중앙식당
다겸달빛포차
피엔비PNB)풍년제과피엔비PNB
근영목우촌삼겹살
전주명동쫄면지점
팔복감자탕
대성식당시외버스터미널자판기
뽀빠이수산시장
옥천일식
우정개발
그녀가만드는케이크acakebyher
아르데코
평화동열국수
신땅쇠
먹으면보신되는한우뼈백프로설렁탕
무교동식당
오다남푸드
수지비
봉우리물갈비
말순씨떡볶이
두마리찜닭두찜전주
밥플릭스
노적봉아구랑꽃게랑
허니앤Be
88콩나물국밥혁
헤이유베이크
도시의사냥꾼
피굽남피자엔유떡떡볶이전주아중점
금암동부대찌개
에프앤원청기와타운전주
알뜰한식뷔페중화요리
센코카레
본우리집밥이마트
점심앤새맛국수
갈비야전주
법인완산칠봉생구이숯불정육식당
지니밥상
반포6앤남산왕돈까스
시엠프레비지점
화천짱구수산
신정담
백운면아중점
씨에씨에마라탕덕
두마리찜닭두찜전주
진짜무쇠삼겹전주점
달래해장전북도청점
써니네하우스
미성
마라부마라탕평화
빡스낵
솔가함흥냉면
시엠프레비
고집
스타밥스전주대학교스타
어벤져스
계화
바른정푸드
마키오
한남삼육팔
고담
은성애슈퍼
비전플러스
김사부의곱창명가완산점
최병서이막오장
만호정회관
전주순두부
김밥마리롤초밥
밤이슬해장국
카페칠육일일
파리바게뜨서전주점
동선꽃게아구무교동낙지
강변생선구이
초밥대통령전주평화점
전주번화가
