상호명,지점명,상권업종중분류명,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,지번본번지,지번부번지,지번주소,건물본번지,건물부번지,건물명,도로명주소,신우편번호,경도,위도
자매집,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,서서학동,서서학동,130,1,전북특별자치도 전주시 완산구 서서학동 130-1,27,,,전북특별자치도 전주시 완산구 팔달로 27,55099,127.1492395,35.80523184
박가네수산시장,,한식,횟집,한식 해산물 요리 전문점,전북특별자치도,전주시 완산구,효자5동,효자동3가,1698,10,전북특별자치도 전주시 완산구 효자동3가 1698-10,14,,,전북특별자치도 전주시 완산구 석산1길 14,54963,127.103311,35.82018695
맛뜨랑분식,,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,전북특별자치도,전주시 완산구,삼천1동,삼천동1가,576,7,전북특별자치도 전주시 완산구 삼천동1가 576-7,15,,,전북특별자치도 전주시 완산구 성지산로 15,55084,127.1201669,35.79991091
소풍가는날,,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,전북특별자치도,전주시 완산구,동서학동,동서학동,173,2,전북특별자치도 전주시 완산구 동서학동 173-2,25,,,전북특별자치도 전주시 완산구 천경로 25,55100,127.1531404,35.80857062
보나베띠,,서양식,경양식,서양식 음식점업,전북특별자치도,전주시 완산구,효자5동,효자동2가,1155,1,전북특별자치도 전주시 완산구 효자동2가 1155-1,48,,보나베띠위드빌딩,전북특별자치도 전주시 완산구 홍산남로 48,54969,127.1069897,35.81555125
오동태마을,반월점,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,조촌동,반월동,243,5,전북특별자치도 전주시 덕진구 반월동 243-5,109,,,전북특별자치도 전주시 덕진구 쪽구름로 109,54808,127.0733718,35.87376162
동호곱창,,한식,곱창 전골/구이,한식 일반 음식점업,전북특별자치도,전주시 덕진구,우아1동,우아동3가,748,14,전북특별자치도 전주시 덕진구 우아동3가 748-14,8,,,전북특별자치도 전주시 덕진구 도당산3길 8,54910,127.1560262,35.8471588
인생포차가맥,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,효자5동,효자동3가,1458,4,전북특별자치도 전주시 완산구 효자동3가 1458-4,57,,,전북특별자치도 전주시 완산구 서곡로 57,54956,127.1003741,35.83426711
연어회상,,일식,일식 회/초밥,일식 음식점업,전북특별자치도,전주시 덕진구,금암1동,금암동,1543,8,전북특별자치도 전주시 덕진구 금암동 1543-8,42,,,전북특별자치도 전주시 덕진구 삼송3길 42,54899,127.1370807,35.84400948
풍년제과효자,롯데점,기타 간이,빵/도넛,제과점업,전북특별자치도,전주시 완산구,효자3동,효자동1가,414,,전북특별자치도 전주시 완산구 효자동1가 414,29,13,효자롯데1차,전북특별자치도 전주시 완산구 용머리로 29-13,55056,127.1135391,35.80695622
건강한김밥,,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,전북특별자치도,전주시 덕진구,여의동,만성동,1377,11,전북특별자치도 전주시 덕진구 만성동 1377-11,72,,하나타워,전북특별자치도 전주시 덕진구 만성동로 72,54859,127.0791206,35.84214195
데이브제과점,,기타 간이,빵/도넛,제과점업,전북특별자치도,전주시 완산구,삼천2동,삼천동1가,306,17,전북특별자치도 전주시 완산구 삼천동1가 306-17,42,9,상가,전북특별자치도 전주시 완산구 장승배기로 42-9,55132,127.1177209,35.79164874
만나만나족발굴보쌈,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,여의동,만성동,1274,12,전북특별자치도 전주시 덕진구 만성동 1274-12,8,19,전체호,전북특별자치도 전주시 덕진구 만성남5길 8-19,54867,127.0737616,35.84030679
전주정든식당,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,금암1동,금암동,1556,28,전북특별자치도 전주시 덕진구 금암동 1556-28,13,,,전북특별자치도 전주시 덕진구 금암4길 13,54930,127.1378156,35.84009719
해밀,,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,전북특별자치도,전주시 덕진구,덕진동,덕진동1가,1283,2,전북특별자치도 전주시 덕진구 덕진동1가 1283-2,62,,,전북특별자치도 전주시 덕진구 들사평로 62,54894,127.1261946,35.84079491
청학동버섯전골,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,중화산2동,중화산동2가,585,8,전북특별자치도 전주시 완산구 중화산동2가 585-8,331,,,전북특별자치도 전주시 완산구 효자로 331,54973,127.1216791,35.81942171
빵키로,,기타 간이,빵/도넛,제과점업,전북특별자치도,전주시 덕진구,우아2동,산정동,857,4,전북특별자치도 전주시 덕진구 산정동 857-4,384,,,전북특별자치도 전주시 덕진구 안덕원로 384,55015,127.1685517,35.83943615
황가네꼼장어닭발숯불구이,효자점,한식,횟집,한식 해산물 요리 전문점,전북특별자치도,전주시 완산구,효자2동,효자동1가,388,,전북특별자치도 전주시 완산구 효자동1가 388,170,,,전북특별자치도 전주시 완산구 거마평로 170,55054,127.1164059,35.80774659
해물찜바당,,한식,해산물 구이/찜,한식 일반 음식점업,전북특별자치도,전주시 덕진구,금암1동,금암동,728,220,전북특별자치도 전주시 덕진구 금암동 728-220,251,5,,전북특별자치도 전주시 덕진구 권삼득로 251-5,54931,127.1324794,35.83945429
맛고을,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,노송동,서노송동,632,7,전북특별자치도 전주시 완산구 서노송동 632-7,17,2,,전북특별자치도 전주시 완산구 노송여울1길 17-2,54995,127.1450592,35.82446085
이모포차,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,호성동,호성동1가,792,,전북특별자치도 전주시 덕진구 호성동1가 792,191,1,유원파크맨션,전북특별자치도 전주시 덕진구 소리로 191-1,54904,127.1526717,35.85848287
전주농부가,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,우아2동,우아동1가,1113,2,전북특별자치도 전주시 덕진구 우아동1가 1113-2,228,,,전북특별자치도 전주시 덕진구 아중로 228,55028,127.1741508,35.82857702
화니푸드,,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,전북특별자치도,전주시 덕진구,혁신동,중동,777,1,전북특별자치도 전주시 덕진구 중동 777-1,43,52,,전북특별자치도 전주시 덕진구 오공로 43-52,54871,127.0605658,35.83771854
덕미네숯불구이,,한식,돼지고기 구이/찜,한식 육류 요리 전문점,전북특별자치도,전주시 완산구,평화1동,평화동1가,741,4,전북특별자치도 전주시 완산구 평화동1가 741-4,186,,,전북특별자치도 전주시 완산구 평화로 186,55121,127.1366505,35.79323297
돌마루,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,인후3동,인후동1가,870,11,전북특별자치도 전주시 덕진구 인후동1가 870-11,27,,,전북특별자치도 전주시 덕진구 가재미5길 27,55020,127.1601745,35.82925438
미스터리초밥집,,일식,일식 회/초밥,일식 음식점업,전북특별자치도,전주시 덕진구,인후3동,인후동1가,920,4,전북특별자치도 전주시 덕진구 인후동1가 920-4,6,22,,전북특별자치도 전주시 덕진구 무삼지로 6-22,55021,127.1681386,35.8272337
효자막창전주고사,본점,한식,곱창 전골/구이,한식 육류 요리 전문점,전북특별자치도,전주시 완산구,중앙동,다가동3가,23,3,전북특별자치도 전주시 완산구 다가동3가 23-3,7,,,전북특별자치도 전주시 완산구 전주객사2길 7,54999,127.1410623,35.81712034
임금님잔치국수,,한식,국수/칼국수,한식 면 요리 전문점,전북특별자치도,전주시 완산구,노송동,중노송동,232,1,전북특별자치도 전주시 완산구 중노송동 232-1,67,,,전북특별자치도 전주시 완산구 아중로 67,55011,127.1576618,35.82339051
콩나루콩나물국밥,,한식,국/탕/찌개류,한식 일반 음식점업,전북특별자치도,전주시 완산구,풍남동,경원동1가,12,1,전북특별자치도 전주시 완산구 경원동1가 12-1,14,,,전북특별자치도 전주시 완산구 전동성당길 14,55039,127.1483565,35.81826517
한솥도시락,중화산점,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,서신동,서신동,855,3,전북특별자치도 전주시 완산구 서신동 855-3,275,,,전북특별자치도 전주시 완산구 유연로 275,54953,127.1155687,35.82557433
즐겨찾기,,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,전북특별자치도,전주시 덕진구,인후1동,인후동1가,575,21,전북특별자치도 전주시 덕진구 인후동1가 575-21,10,,,전북특별자치도 전주시 덕진구 심방죽2길 10,54920,127.1518463,35.83785418
평화동뒷고기,,한식,돼지고기 구이/찜,한식 일반 음식점업,전북특별자치도,전주시 완산구,평화2동,평화동2가,861,2,전북특별자치도 전주시 완산구 평화동2가 861-2,4,,,전북특별자치도 전주시 완산구 평화15길 4,55124,127.1365482,35.79162884
낙지마당아중점,,한식,해산물 구이/찜,한식 일반 음식점업,전북특별자치도,전주시 덕진구,인후3동,인후동1가,847,1,전북특별자치도 전주시 덕진구 인후동1가 847-1,262,,,전북특별자치도 전주시 덕진구 건산로 262,55018,127.1657422,35.83500587
용우동전주,삼천점,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,전북특별자치도,전주시 완산구,삼천2동,삼천동1가,271,3,전북특별자치도 전주시 완산구 삼천동1가 271-3,62,4,,전북특별자치도 전주시 완산구 장승배기로 62-4,55132,127.1196906,35.79208842
마루,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,평화2동,평화동2가,601,1,전북특별자치도 전주시 완산구 평화동2가 601-1,157,8,,전북특별자치도 전주시 완산구 맏내로 157-8,55133,127.1274142,35.79361263
참진한우리한우우리돼지,,한식,돼지고기 구이/찜,한식 일반 음식점업,전북특별자치도,전주시 완산구,평화2동,평화동1가,727,8,전북특별자치도 전주시 완산구 평화동1가 727-8,21,3,,전북특별자치도 전주시 완산구 평화18길 21-3,55122,127.1344624,35.79455128
정든식당,,한식,돼지고기 구이/찜,한식 육류 요리 전문점,전북특별자치도,전주시 완산구,중화산1동,중화산동2가,548,10,전북특별자치도 전주시 완산구 중화산동2가 548-10,44,,,전북특별자치도 전주시 완산구 따박골로 44,55049,127.1272081,35.81002485
육회야수육아,,한식,소고기 구이/찜,한식 육류 요리 전문점,전북특별자치도,전주시 완산구,서신동,서신동,931,4,전북특별자치도 전주시 완산구 서신동 931-4,51,9,,전북특별자치도 전주시 완산구 새터로 51-9,54943,127.1119649,35.83626667
본죽앤비빔밥카페,전북대점,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,덕진동,덕진동1가,664,6,전북특별자치도 전주시 덕진구 덕진동1가 664-6,333,,,전북특별자치도 전주시 덕진구 권삼득로 333,54898,127.1258691,35.84492301
에스더블유푸드,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,중화산2동,중화산동2가,401,10,전북특별자치도 전주시 완산구 중화산동2가 401-10,55,7,,전북특별자치도 전주시 완산구 중화산로 55-7,54978,127.1174682,35.81536121
열정아구,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,우아2동,우아동2가,901,9,전북특별자치도 전주시 덕진구 우아동2가 901-9,175,,,전북특별자치도 전주시 덕진구 정언신로 175,55022,127.172542,35.83180585
불철주야,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,송천1동,송천동1가,117,,전북특별자치도 전주시 덕진구 송천동1가 117,9,,송천동우림,전북특별자치도 전주시 덕진구 솔내9길 9,54835,127.1257304,35.86228133
스크린야구스킬업도청점,,한식,백반/한정식,그 외 기타 스포츠시설 운영업,전북특별자치도,전주시 완산구,효자5동,효자동2가,1155,9,전북특별자치도 전주시 완산구 효자동2가 1155-9,17,,,전북특별자치도 전주시 완산구 홍산중앙로 17,54969,127.1087375,35.81515313
서동빵명가,,기타 간이,빵/도넛,제과점업,전북특별자치도,전주시 덕진구,인후1동,인후동1가,772,7,전북특별자치도 전주시 덕진구 인후동1가 772-7,250,,,전북특별자치도 전주시 덕진구 안덕원로 250,55008,127.154223,35.83628296
풍남피순대,,한식,국/탕/찌개류,한식 일반 음식점업,전북특별자치도,전주시 완산구,풍남동,전동3가,2,242,전북특별자치도 전주시 완산구 전동3가 2-242,63,,,전북특별자치도 전주시 완산구 풍남문2길 63,55043,127.1466085,35.81240912
쁠랑드봉봉,,기타 간이,빵/도넛,제과점업,전북특별자치도,전주시 완산구,효자4동,효자동2가,93,7,전북특별자치도 전주시 완산구 효자동2가 93-7,132,,,전북특별자치도 전주시 완산구 봉곡로 132,55058,127.1074246,35.80980081
엄마손찐빵전주효자시니어클럽,,기타 간이,빵/도넛,제과점업,전북특별자치도,전주시 완산구,효자1동,효자동1가,215,6,전북특별자치도 전주시 완산구 효자동1가 215-6,27,,,전북특별자치도 전주시 완산구 효동2길 27,55094,127.1266343,35.80400502
남노갈비평화점,,한식,돼지고기 구이/찜,한식 일반 음식점업,전북특별자치도,전주시 완산구,평화2동,평화동1가,724,6,전북특별자치도 전주시 완산구 평화동1가 724-6,12,,,전북특별자치도 전주시 완산구 평화18길 12,55122,127.1354478,35.79503686
이석쇠한판,,한식,돼지고기 구이/찜,한식 육류 요리 전문점,전북특별자치도,전주시 완산구,서신동,서신동,935,5,전북특별자치도 전주시 완산구 서신동 935-5,45,,,전북특별자치도 전주시 완산구 새터로 45,54943,127.111455,35.83571738
천안당호두과자전주,에코점,기타 간이,빵/도넛,제과점업,전북특별자치도,전주시 덕진구,송천1동,송천동2가,38,2,전북특별자치도 전주시 덕진구 송천동2가 38-2,962,,일부호,전북특별자치도 전주시 덕진구 동부대로 962,55151,127.1418083,35.86944641
금화왕돈까스전주,산정점,서양식,경양식,김밥 및 기타 간이 음식점업,전북특별자치도,전주시 덕진구,우아2동,산정동,800,,전북특별자치도 전주시 덕진구 산정동 800,586,,,전북특별자치도 전주시 덕진구 동부대로 586,54818,127.1666884,35.84289056
진수성찬,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,효자4동,효자동2가,894,7,전북특별자치도 전주시 완산구 효자동2가 894-7,241,8,,전북특별자치도 전주시 완산구 쑥고개로 241-8,55070,127.0921446,35.80023307
제이베이커리,,기타 간이,빵/도넛,제과점업,전북특별자치도,전주시 완산구,평화2동,평화동2가,956,,전북특별자치도 전주시 완산구 평화동2가 956,28,,광신프로그레스아파트,전북특별자치도 전주시 완산구 맏내로 28,55140,127.1273995,35.78434765
두거리우신탕호남사업본부,,한식,국/탕/찌개류,한식 일반 음식점업,전북특별자치도,전주시 덕진구,송천1동,송천동2가,305,5,전북특별자치도 전주시 덕진구 송천동2가 305-5,1106,,,전북특별자치도 전주시 덕진구 동부대로 1106,55149,127.1261746,35.8700767
사계절,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,서신동,서신동,858,3,전북특별자치도 전주시 완산구 서신동 858-3,4,5,,전북특별자치도 전주시 완산구 전룡1길 4-5,54954,127.1166756,35.82576253
남원본가추어탕,시청점,한식,국/탕/찌개류,한식 일반 음식점업,전북특별자치도,전주시 완산구,노송동,서노송동,619,1,전북특별자치도 전주시 완산구 서노송동 619-1,41,,,전북특별자치도 전주시 완산구 노송광장로 41,54995,127.1464984,35.82475652
달세뇨분식,,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,전북특별자치도,전주시 덕진구,진북동,진북동,364,21,전북특별자치도 전주시 덕진구 진북동 364-21,330,9,,전북특별자치도 전주시 덕진구 팔달로 330-9,54935,127.1402564,35.83078437
완산벌연탄집,모래내점,한식,돼지고기 구이/찜,한식 육류 요리 전문점,전북특별자치도,전주시 덕진구,인후2동,인후동2가,236,5,전북특별자치도 전주시 덕진구 인후동2가 236-5,79,,,전북특별자치도 전주시 덕진구 건산로 79,55001,127.1459592,35.83248997
송해븐,,기타 간이,빵/도넛,제과점업,전북특별자치도,전주시 덕진구,여의동,만성동,1259,8,전북특별자치도 전주시 덕진구 만성동 1259-8,50,,,전북특별자치도 전주시 덕진구 만성중앙로 50,54868,127.076874,35.84247687
기사식당,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,조촌동,용정동,41,1,전북특별자치도 전주시 덕진구 용정동 41-1,3,,,전북특별자치도 전주시 덕진구 서당길 3,54806,127.0597853,35.87433693
여기꼭들려야해,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,우아1동,우아동3가,729,8,전북특별자치도 전주시 덕진구 우아동3가 729-8,9,4,,전북특별자치도 전주시 덕진구 우아7길 9-4,54909,127.1549246,35.84989103
정명기김밥,,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,전북특별자치도,전주시 완산구,효자4동,효자동3가,1731,5,전북특별자치도 전주시 완산구 효자동3가 1731-5,11,1,,전북특별자치도 전주시 완산구 봉곡로 11-1,55060,127.0951788,35.81194712
건윤,,한식,국수/칼국수,한식 면 요리 전문점,전북특별자치도,전주시 완산구,효자3동,효자동1가,434,,전북특별자치도 전주시 완산구 효자동1가 434,45,,,전북특별자치도 전주시 완산구 용머리로 45,55056,127.1155749,35.80691823
땡초화끈이,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,여의동,여의동,669,,전북특별자치도 전주시 덕진구 여의동 669,23,,제일,전북특별자치도 전주시 덕진구 쪽구름로 23,54850,127.0781496,35.86778329
우리포차,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,중화산1동,중화산동2가,186,3,전북특별자치도 전주시 완산구 중화산동2가 186-3,4,,,전북특별자치도 전주시 완산구 선너머로 4,54986,127.1251932,35.81630875
기린초밥,,일식,일식 회/초밥,일식 음식점업,전북특별자치도,전주시 덕진구,혁신동,중동,774,5,전북특별자치도 전주시 덕진구 중동 774-5,154,,,전북특별자치도 전주시 덕진구 안전로 154,54871,127.058983,35.83771933
산마을오리정평화점,,한식,돼지고기 구이/찜,한식 육류 요리 전문점,전북특별자치도,전주시 완산구,평화1동,평화동1가,742,9,전북특별자치도 전주시 완산구 평화동1가 742-9,5,4,,전북특별자치도 전주시 완산구 평화16길 5-4,55121,127.1371368,35.79298908
보신촌,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,삼천1동,삼천동1가,595,12,전북특별자치도 전주시 완산구 삼천동1가 595-12,18,18,,전북특별자치도 전주시 완산구 송정1길 18-18,55084,127.1182192,35.79946221
부송국수,송천점,한식,국수/칼국수,한식 면 요리 전문점,전북특별자치도,전주시 덕진구,송천2동,송천동2가,531,12,전북특별자치도 전주시 덕진구 송천동2가 531-12,51,,,전북특별자치도 전주시 덕진구 시천로 51,54831,127.1142295,35.86406828
올리브그린,,서양식,경양식,서양식 음식점업,전북특별자치도,전주시 완산구,중화산2동,중화산동2가,624,8,전북특별자치도 전주시 완산구 중화산동2가 624-8,10,,외,전북특별자치도 전주시 완산구 중산로 10,54977,127.1205215,35.81492559
인정1길,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,중화산2동,중화산동2가,580,9,전북특별자치도 전주시 완산구 중화산동2가 580-9,15,6,,전북특별자치도 전주시 완산구 인정1길 15-6,54973,127.1219677,35.81996217
화덕초대파불고기전주고사점,,한식,돼지고기 구이/찜,한식 육류 요리 전문점,전북특별자치도,전주시 완산구,중앙동,고사동,232,2,전북특별자치도 전주시 완산구 고사동 232-2,74,35,,전북특별자치도 전주시 완산구 전주객사4길 74-35,54999,127.1438584,35.82134393
우드케이크,,기타 간이,빵/도넛,제과점업,전북특별자치도,전주시 덕진구,송천1동,송천동1가,128,11,전북특별자치도 전주시 덕진구 송천동1가 128-11,40,9,제,전북특별자치도 전주시 덕진구 솔내7길 40-9,54836,127.1256917,35.85877549
소담골,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,삼천2동,삼천동1가,658,15,전북특별자치도 전주시 완산구 삼천동1가 658-15,15,1,,전북특별자치도 전주시 완산구 거마남로 15-1,55088,127.1186107,35.79491946
팔도명가,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,서신동,서신동,842,16,전북특별자치도 전주시 완산구 서신동 842-16,25,,,전북특별자치도 전주시 완산구 서신천변1길 25,54953,127.113114,35.82705473
이오당,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,풍남동,교동,132,11,전북특별자치도 전주시 완산구 교동 132-11,85,9,,전북특별자치도 전주시 완산구 향교길 85-9,55045,127.1542764,35.81242656
휴식당,,서양식,경양식,서양식 음식점업,전북특별자치도,전주시 완산구,평화1동,평화동1가,434,90,전북특별자치도 전주시 완산구 평화동1가 434-90,18,7,,전북특별자치도 전주시 완산구 덕적골3길 18-7,55119,127.144326,35.79844232
대성회관,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,풍남동,경원동3가,61,1,전북특별자치도 전주시 완산구 경원동3가 61-1,196,8,,전북특별자치도 전주시 완산구 팔달로 196-8,55000,127.147264,35.81985273
마성떡볶이,효자점,기타 간이,김밥/만두/분식,간이 음식 포장 판매 전문점,전북특별자치도,전주시 완산구,효자3동,효자동1가,431,5,전북특별자치도 전주시 완산구 효자동1가 431-5,31,,,전북특별자치도 전주시 완산구 용머리로 31,55056,127.1142467,35.80657702
캠프케이시부대찌개,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,여의동,만성동,1261,1,전북특별자치도 전주시 덕진구 만성동 1261-1,56,,,전북특별자치도 전주시 덕진구 만성중앙로 56,54868,127.0774825,35.84221511
새벽장,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,완산동,동완산동,36,6,전북특별자치도 전주시 완산구 동완산동 36-6,141,,,전북특별자치도 전주시 완산구 전주천서로 141,55098,127.1461084,35.81121105
진안숯불생구이,,한식,돼지고기 구이/찜,한식 육류 요리 전문점,전북특별자치도,전주시 완산구,서신동,서신동,826,2,전북특별자치도 전주시 완산구 서신동 826-2,49,,,전북특별자치도 전주시 완산구 서신천변로 49,54952,127.1140472,35.82954133
남노갈비하가점,,한식,돼지고기 구이/찜,한식 육류 요리 전문점,전북특별자치도,전주시 덕진구,덕진동,덕진동2가,677,4,전북특별자치도 전주시 덕진구 덕진동2가 677-4,12,5,,전북특별자치도 전주시 덕진구 가리내10길 12-5,54890,127.1102911,35.84242381
정가네양평해장국,아중2호점,한식,국/탕/찌개류,한식 일반 음식점업,전북특별자치도,전주시 덕진구,인후3동,인후동1가,928,3,전북특별자치도 전주시 덕진구 인후동1가 928-3,146,,,전북특별자치도 전주시 덕진구 아중로 146,55030,127.1656453,35.82565094
무한리필김대호,본점,한식,돼지고기 구이/찜,한식 육류 요리 전문점,전북특별자치도,전주시 완산구,평화1동,평화동1가,741,4,전북특별자치도 전주시 완산구 평화동1가 741-4,186,,,전북특별자치도 전주시 완산구 평화로 186,55121,127.1366505,35.79323297
김천재의육회반한연어전주아중점,,한식,소고기 구이/찜,한식 해산물 요리 전문점,전북특별자치도,전주시 덕진구,인후3동,인후동1가,805,4,전북특별자치도 전주시 덕진구 인후동1가 805-4,235,,,전북특별자치도 전주시 덕진구 건산로 235,55013,127.1629301,35.83461316
장동장어,,한식,해산물 구이/찜,한식 해산물 요리 전문점,전북특별자치도,전주시 완산구,평화2동,평화동1가,724,7,전북특별자치도 전주시 완산구 평화동1가 724-7,14,,,전북특별자치도 전주시 완산구 평화18길 14,55122,127.1352376,35.79505512
스마일명품찹쌀꽈배기,,기타 간이,빵/도넛,피자; 햄버거; 샌드위치 및 유사 음식점업,전북특별자치도,전주시 완산구,삼천2동,삼천동1가,637,9,전북특별자치도 전주시 완산구 삼천동1가 637-9,83,,,전북특별자치도 전주시 완산구 거마남로 83,55089,127.125659,35.79589468
한솥도시락,효자점,한식,백반/한정식,간이 음식 포장 판매 전문점,전북특별자치도,전주시 완산구,효자5동,효자동3가,1689,7,전북특별자치도 전주시 완산구 효자동3가 1689-7,56,,,전북특별자치도 전주시 완산구 마전들로 56,54964,127.101652,35.82086431
양지본가,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,평화2동,평화동3가,241,8,전북특별자치도 전주시 완산구 평화동3가 241-8,48,32,,전북특별자치도 전주시 완산구 장교마을길 48-32,55138,127.113527,35.78289248
삿뽀로우동집,,일식,일식 면 요리,중식 음식점업,전북특별자치도,전주시 덕진구,우아2동,우아동2가,866,5,전북특별자치도 전주시 덕진구 우아동2가 866-5,284,,,전북특별자치도 전주시 덕진구 건산로 284,55017,127.1679904,35.83566066
전주다복게장,,한식,해산물 구이/찜,한식 일반 음식점업,전북특별자치도,전주시 완산구,노송동,서노송동,631,9,전북특별자치도 전주시 완산구 서노송동 631-9,24,,,전북특별자치도 전주시 완산구 노송여울2길 24,54995,127.145856,35.8244689
JK베이커리,,기타 간이,빵/도넛,제과점업,전북특별자치도,전주시 완산구,중화산1동,중화산동1가,176,1,전북특별자치도 전주시 완산구 중화산동1가 176-1,267,,신관,전북특별자치도 전주시 완산구 전주천서로 267,54989,127.1356746,35.81782952
풍천장어마을,,한식,해산물 구이/찜,한식 해산물 요리 전문점,전북특별자치도,전주시 덕진구,우아2동,우아동1가,1089,2,전북특별자치도 전주시 덕진구 우아동1가 1089-2,210,,,전북특별자치도 전주시 덕진구 아중로 210,55028,127.1722791,35.82793983
통큰숯불갈비,,한식,돼지고기 구이/찜,한식 육류 요리 전문점,전북특별자치도,전주시 덕진구,인후3동,인후동1가,943,5,전북특별자치도 전주시 덕진구 인후동1가 943-5,4,,한솔원룸,전북특별자치도 전주시 덕진구 한배미5길 4,55030,127.1674789,35.82403515
세우고횟집,,한식,횟집,일식 음식점업,전북특별자치도,전주시 덕진구,금암1동,금암동,760,10,전북특별자치도 전주시 덕진구 금암동 760-10,481,,,전북특별자치도 전주시 덕진구 전주천동로 481,54932,127.1293193,35.8359969
황토우렁촌,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,진북동,진북동,359,5,전북특별자치도 전주시 덕진구 진북동 359-5,310,3,,전북특별자치도 전주시 덕진구 팔달로 310-3,54993,127.1414379,35.82926888
아띠,,기타 간이,빵/도넛,제과점업,전북특별자치도,전주시 덕진구,인후2동,인후동2가,1575,1,전북특별자치도 전주시 덕진구 인후동2가 1575-1,11,,성락콤비,전북특별자치도 전주시 덕진구 명주5길 11,54916,127.1512293,35.84516415
김밥천국인후안골점,,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,전북특별자치도,전주시 덕진구,인후1동,인후동1가,772,7,전북특별자치도 전주시 덕진구 인후동1가 772-7,250,,,전북특별자치도 전주시 덕진구 안덕원로 250,55008,127.154223,35.83628296
초담불고기,,한식,돼지고기 구이/찜,한식 일반 음식점업,전북특별자치도,전주시 덕진구,덕진동,덕진동2가,663,13,전북특별자치도 전주시 덕진구 덕진동2가 663-13,20,12,,전북특별자치도 전주시 덕진구 가리내6길 20-12,54890,127.1096314,35.84565992
서래갈매기,전북대점,한식,돼지고기 구이/찜,한식 육류 요리 전문점,전북특별자치도,전주시 덕진구,덕진동,덕진동1가,1314,180,전북특별자치도 전주시 덕진구 덕진동1가 1314-180,18,1,,전북특별자치도 전주시 덕진구 명륜3길 18-1,54898,127.1282675,35.84265832
아이마미따,,서양식,경양식,서양식 음식점업,전북특별자치도,전주시 완산구,중앙동,다가동4가,90,1,전북특별자치도 전주시 완산구 다가동4가 90-1,46,7,,전북특별자치도 전주시 완산구 전주객사1길 46-7,54999,127.1393939,35.8185643
벧엘분식,,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,전북특별자치도,전주시 완산구,노송동,중노송동,189,8,전북특별자치도 전주시 완산구 중노송동 189-8,23,49,,전북특별자치도 전주시 완산구 마당재4길 23-49,55034,127.1593642,35.822487
