상호명,지점명,상권업종중분류명,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,지번본번지,지번부번지,지번주소,건물본번지,건물부번지,건물명,도로명주소,신우편번호,경도,위도
채우미콩나물국밥,,한식,국/탕/찌개류,한식 일반 음식점업,전북특별자치도,전주시 완산구,효자4동,효자동2가,1305,18,전북특별자치도 전주시 완산구 효자동2가 1305-18,11,32,전면부좌측부분,전북특별자치도 전주시 완산구 후곡길 11-32,55063,127.0948219,35.80959511
달빛,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,효자5동,효자동3가,1412,10,전북특별자치도 전주시 완산구 효자동3가 1412-10,13,22,,전북특별자치도 전주시 완산구 서곡5길 13-22,54956,127.1008869,35.83715971
돼지우리,,한식,돼지고기 구이/찜,한식 육류 요리 전문점,전북특별자치도,전주시 완산구,평화2동,평화동1가,705,4,전북특별자치도 전주시 완산구 평화동1가 705-4,6,9,,전북특별자치도 전주시 완산구 맏내3길 6-9,55134,127.1313853,35.79347317
바지락칼국수,,한식,국수/칼국수,한식 면 요리 전문점,전북특별자치도,전주시 완산구,노송동,서노송동,641,5,전북특별자치도 전주시 완산구 서노송동 641-5,255,,외,전북특별자치도 전주시 완산구 팔달로 255,54996,127.1441081,35.82481348
오점오닭갈비,,한식,닭/오리고기 구이/찜,한식 육류 요리 전문점,전북특별자치도,전주시 덕진구,송천1동,송천동2가,486,,전북특별자치도 전주시 덕진구 송천동2가 486,226,,,전북특별자치도 전주시 덕진구 송천중앙로 226,54828,127.1219626,35.86722408
독도쭈꾸미,,한식,해산물 구이/찜,한식 일반 음식점업,전북특별자치도,전주시 완산구,서신동,서신동,830,7,전북특별자치도 전주시 완산구 서신동 830-7,12,,,전북특별자치도 전주시 완산구 서신천변8길 12,54952,127.1153184,35.82849465
초록원,,한식,돼지고기 구이/찜,한식 육류 요리 전문점,전북특별자치도,전주시 완산구,중화산2동,중화산동2가,694,7,전북특별자치도 전주시 완산구 중화산동2가 694-7,13,10,,전북특별자치도 전주시 완산구 메너머3길 13-10,54972,127.1210538,35.82300936
고봉민김밥人,서신점,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,전북특별자치도,전주시 완산구,서신동,서신동,763,1,전북특별자치도 전주시 완산구 서신동 763-1,27,,서신동신일,전북특별자치도 전주시 완산구 당산로 27,54947,127.1114282,35.8323467
용담식당,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,중화산2동,중화산동2가,628,12,전북특별자치도 전주시 완산구 중화산동2가 628-12,3,,,전북특별자치도 전주시 완산구 중산5길 3,54977,127.1207447,35.81616009
삼백집,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,중앙동,고사동,454,1,전북특별자치도 전주시 완산구 고사동 454-1,22,,,전북특별자치도 전주시 완산구 전주객사2길 22,54999,127.1411411,35.81791336
아구세상여의점,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,여의동,여의동2가,702,1,전북특별자치도 전주시 덕진구 여의동2가 702-1,12,,,전북특별자치도 전주시 덕진구 편운로 12,54848,127.0778318,35.8711632
전주제일옥,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,송천2동,송천동1가,292,7,전북특별자치도 전주시 덕진구 송천동1가 292-7,1,,송천동센트럴파크1단지,전북특별자치도 전주시 덕진구 송천로 1,54839,127.1185873,35.85355543
김밥의정석,,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,전북특별자치도,전주시 완산구,서서학동,서서학동,361,6,전북특별자치도 전주시 완산구 서서학동 361-6,3,,,전북특별자치도 전주시 완산구 팔달로 3,55102,127.1479192,35.80321465
팔팔콩나물국밥고려,병원점,한식,국/탕/찌개류,한식 일반 음식점업,전북특별자치도,전주시 덕진구,우아2동,산정동,856,1,전북특별자치도 전주시 덕진구 산정동 856-1,370,,,전북특별자치도 전주시 덕진구 안덕원로 370,55015,127.1673442,35.83894214
아티장보노보,,기타 간이,빵/도넛,제과점업,전북특별자치도,전주시 덕진구,호성동,호성동1가,829,4,전북특별자치도 전주시 덕진구 호성동1가 829-4,134,,진흥더블파크1단지,전북특별자치도 전주시 덕진구 호성로 134,54903,127.1481861,35.86346341
왕김밥,,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,전북특별자치도,전주시 덕진구,송천2동,송천동1가,473,6,전북특별자치도 전주시 덕진구 송천동1가 473-6,5,,,전북특별자치도 전주시 덕진구 송천2길 5,54838,127.1205783,35.85975408
웃어라청춘가맥,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,효자5동,효자동3가,1458,2,전북특별자치도 전주시 완산구 효자동3가 1458-2,61,,,전북특별자치도 전주시 완산구 서곡로 61,54956,127.1005958,35.83454631
엄가네시골집24시얼큰한뼈해장국,,한식,국/탕/찌개류,한식 일반 음식점업,전북특별자치도,전주시 덕진구,금암1동,금암동,711,1,전북특별자치도 전주시 덕진구 금암동 711-1,419,,,전북특별자치도 전주시 덕진구 기린대로 419,54932,127.1301316,35.83866374
효자전집,,한식,전/부침개,한식 육류 요리 전문점,전북특별자치도,전주시 완산구,효자4동,효자동2가,1312,2,전북특별자치도 전주시 완산구 효자동2가 1312-2,12,6,,전북특별자치도 전주시 완산구 후곡길 12-6,55063,127.0963821,35.809684
저팔개와콧구멍,,한식,돼지고기 구이/찜,한식 육류 요리 전문점,전북특별자치도,전주시 덕진구,인후2동,인후동2가,1574,11,전북특별자치도 전주시 덕진구 인후동2가 1574-11,8,,,전북특별자치도 전주시 덕진구 명주6길 8,54916,127.151817,35.8457312
낙쭈족한우곱창,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,금암1동,금암동,728,29,전북특별자치도 전주시 덕진구 금암동 728-29,240,,,전북특별자치도 전주시 덕진구 권삼득로 240,54930,127.1335524,35.83907457
온고을회포차,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,중화산1동,중화산동2가,663,5,전북특별자치도 전주시 완산구 중화산동2가 663-5,17,9,,전북특별자치도 전주시 완산구 한두평1길 17-9,54985,127.1248778,35.81277614
진미면막국수,,한식,국수/칼국수,한식 면 요리 전문점,전북특별자치도,전주시 완산구,효자5동,효자동3가,690,9,전북특별자치도 전주시 완산구 효자동3가 690-9,461,,,전북특별자치도 전주시 완산구 천잠로 461,54877,127.0980628,35.8268156
피노,,서양식,경양식,서양식 음식점업,전북특별자치도,전주시 덕진구,송천1동,송천동2가,1365,7,전북특별자치도 전주시 덕진구 송천동2가 1365-7,17,,,전북특별자치도 전주시 덕진구 화암2길 17,55151,127.1387999,35.87143268
이수사,,일식,일식 회/초밥,일식 음식점업,전북특별자치도,전주시 완산구,중앙동,중앙동1가,59,2,전북특별자치도 전주시 완산구 중앙동1가 59-2,13,,,전북특별자치도 전주시 완산구 전라감영3길 13,55038,127.1431742,35.81621658
김밥천국,터미널점,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,전북특별자치도,전주시 덕진구,금암1동,금암동,705,7,전북특별자치도 전주시 덕진구 금암동 705-7,38,,,전북특별자치도 전주시 덕진구 가리내로 38,54933,127.1319395,35.83425462
올라제과,,기타 간이,빵/도넛,제과점업,전북특별자치도,전주시 덕진구,여의동,만성동,1362,5,전북특별자치도 전주시 덕진구 만성동 1362-5,17,93,,전북특별자치도 전주시 덕진구 만성중앙로 17-93,54860,127.074331,35.84552472
하이퐁쌀국수,,동남아시아,베트남식 전문,기타 외국식 음식점업,전북특별자치도,전주시 덕진구,인후3동,인후동1가,811,1,전북특별자치도 전주시 덕진구 인후동1가 811-1,235,,,전북특별자치도 전주시 덕진구 견훤로 235,55009,127.1580119,35.83252881
백제푸드오리명가,,한식,닭/오리고기 구이/찜,한식 일반 음식점업,전북특별자치도,전주시 덕진구,호성동,호성동1가,564,1,전북특별자치도 전주시 덕진구 호성동1가 564-1,11,,,전북특별자치도 전주시 덕진구 초당길 11,54817,127.1498964,35.86623715
새벽식탁,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,덕진동,덕진동1가,1312,58,전북특별자치도 전주시 덕진구 덕진동1가 1312-58,21,4,,전북특별자치도 전주시 덕진구 명륜4길 21-4,54898,127.1265652,35.84412917
오뚜기집,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,송천2동,송천동1가,440,,전북특별자치도 전주시 덕진구 송천동1가 440,73,,,전북특별자치도 전주시 덕진구 송천로 73,54833,127.1174007,35.85969414
두마리찜닭두찜전주,효자점,한식,닭/오리고기 구이/찜,한식 일반 음식점업,전북특별자치도,전주시 완산구,효자4동,효자동2가,1158,33,전북특별자치도 전주시 완산구 효자동2가 1158-33,36,,,전북특별자치도 전주시 완산구 범안1길 36,55057,127.1069836,35.81101791
청춘면옥,,한식,냉면/밀면,김밥 및 기타 간이 음식점업,전북특별자치도,전주시 덕진구,인후3동,인후동1가,867,5,전북특별자치도 전주시 덕진구 인후동1가 867-5,80,,,전북특별자치도 전주시 덕진구 정언신로 80,55020,127.1625788,35.83059403
천변집황칠능이백숙,,한식,닭/오리고기 구이/찜,한식 일반 음식점업,전북특별자치도,전주시 완산구,효자4동,효자동2가,135,6,전북특별자치도 전주시 완산구 효자동2가 135-6,193,,효자세느빌,전북특별자치도 전주시 완산구 세내로 193,55058,127.1085286,35.80802434
옴그냉삼,,한식,돼지고기 구이/찜,한식 육류 요리 전문점,전북특별자치도,전주시 덕진구,덕진동,덕진동2가,671,12,전북특별자치도 전주시 덕진구 덕진동2가 671-12,10,8,,전북특별자치도 전주시 덕진구 가리내8길 10-8,54890,127.1108025,35.8440456
